,nome,cpf,idade,data,endereco,estado,pais
0,Sra. Daniela Barbosa,742.185.309-04,20,14/11/2003,"Parque de Garcia, 16
Marieta 3ª Seção
75594-198 Cardoso / PA",Distrito Federal,Brasil
1,Rodrigo Sá,871.294.563-37,54,21/11/1969,"Ladeira Benjamim Gomes
Fernão Dias
51993503 Vieira / PE",Tocantins,Brasil
2,Benício Pinto,284.613.907-50,48,25/03/1976,"Via Emilly Leão, 792
Cabana Do Pai Tomás
15799-269 Casa Grande do Galho / AC",Espírito Santo,Brasil
3,Ana Sophia Gonçalves,617.940.285-01,58,07/08/1966,"Quadra Cauê da Mata, 7
Aguas Claras
34586020 Cavalcante / MT",Sergipe,Brasil
4,Sr. Gustavo Nogueira,784.395.062-10,47,15/08/1976,"Trecho Paulo Castro, 23
Juliana
35128-512 Nascimento / AC",Tocantins,Brasil
5,Theodoro Vargas,693.258.104-33,54,23/02/1970,"Ladeira de Gomes, 999
Castanheira
63674491 Barbosa / DF",Roraima,Brasil
6,Alana Pereira,105.826.374-90,60,16/02/1964,"Lago Cirino, 55
Vila Cemig
08195-884 Duarte de Barbosa / PI",Rio Grande do Norte,Brasil
7,Clara Freitas,930.421.568-42,22,14/12/2001,"Jardim Montenegro, 75
Monsenhor Messias
97600829 Martins do Norte / RJ",Minas Gerais,Brasil
8,Asafe Montenegro,039.627.581-86,22,01/01/2002,"Quadra Rios, 28
Casa Branca
23607462 Sá / MA",Pará,Brasil
9,Mariana Casa Grande,130.694.752-99,24,06/08/2000,"Morro de Abreu, 60
Santo Agostinho
18621867 Moraes Verde / MS",Paraíba,Brasil
